Particle: X:[2.5665, -80.379, 0] v: [0.0250003, -9.80871, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.29925, -87.6044, 0] v: [-0.0384112, -9.96984, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[0.840778, -88.6378, 0] v: [-0.1474, -10.0731, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.31584, -82.1177, 0] v: [0.0631455, -10.0946, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.42633, -82.0705, 0] v: [0.0109972, -10.0898, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.91934, -88.0569, 0] v: [-0.076365, -9.90291, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.28007, -90.2746, 0] v: [0.0962856, -10.1245, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.30344, -81.6126, 0] v: [0.161807, -10.1562, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.16855, -78.0311, 0] v: [-0.0147551, -9.79844, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.8357, -90.8241, 0] v: [0.11508, -10.0672, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[0.474375, -90.7851, 0] v: [-0.184003, -10.0633, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.24346, -78.9992, 0] v: [0.0559148, -10.0073, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.95594, -78.5924, 0] v: [0.163805, -9.96665, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.55988, -91.44, 0] v: [-0.112274, -10.0166, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.52501, -90.8087, 0] v: [0.020855, -9.95354, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.63784, -86.405, 0] v: [0.0830755, -10.1864, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.85019, -85.6777, 0] v: [0.0655782, -10.1138, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.32249, -86.7446, 0] v: [-0.0483279, -10.1082, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.01924, -85.1124, 0] v: [-0.0174335, -9.94517, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.67588, -84.1522, 0] v: [0.0868765, -10.0735, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.27162, -84.0517, 0] v: [0.10768, -10.0635, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.38911, -85.4642, 0] v: [0.0582282, -9.86818, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.12771, -87.006, 0] v: [-0.00659717, -10.0222, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.07622, -81.4498, 0] v: [-0.17283, -9.91569, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.00532, -80.5538, 0] v: [-0.0188241, -9.82618, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.22972, -88.1477, 0] v: [0.042305, -10.0241, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[0.442006, -87.9952, 0] v: [-0.0750993, -10.0089, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.17433, -82.675, 0] v: [0.0367714, -10.1502, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.22098, -81.7153, 0] v: [0.00271984, -10.0544, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.13984, -88.1017, 0] v: [-0.066574, -9.90739, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.29305, -88.912, 0] v: [0.00991986, -9.98834, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.00607, -79.9536, 0] v: [0.0199617, -9.99049, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
